Name,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
GoPaddleie ,-6.56288,52.4545939,Wexford,Enniscorthy,Republic of Ireland,"Kayaking,Activity Operator,Learning,Day Tour,Tour,Boat"
Dingle Dolphin Boat Tours,-10.27462,52.139158,Kerry,Dingle,Republic of Ireland,"Cruising,Activity Operator,Boat,Tour"
Riverboat Adventures,-6.9530715,52.5405494,Kilkenny,Graiguenamanagh,Republic of Ireland,"Activity Operator,Boat,Tour"
Derg Isle Adventure Centre,-8.5104691,52.9081402,Clare,Scarriff,Republic of Ireland,"Climbing,Activity Operator,Fishing,Angling,Kayaking,Zip Lining,Adventure Park,Boat,Tour"
West Kerry Sheepdog Demonstrations,-9.8490664,52.2355715,Kerry,Tralee,Republic of Ireland,Activity Operator
Ashgrove Pitch and Putt Club,-7.2232463,52.2890853,Kilkenny,Mooncoin,Republic of Ireland,"Golf,Pitch And Putt,General,Pitch and Putt,Activity Operator"
Selskar Abbey,-6.4653954,52.3414142,Wexford,Wexford Town,Republic of Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
Duckettas Grove Walled Gardens and Pleasure Grounds,-6.8129393,52.8571835,Carlow,Carlow Town,Republic of Ireland,"Gardens,Garden,Historic Houses and Castle,Museums and Attraction,Ruins"
Skellig Michael Voyage,-10.3652869,51.8861315,Kerry,Portmagee,Republic of Ireland,"Bird Watching,Nature and Wildlife,Activity Operator,Boat,Tour"
Derrynane Sea Sports,-10.120897,51.765396,Kerry,Caherdaniel,Republic of Ireland,"Kayaking,Activity Operator,Sailing"
Beyond the Glass Cycle Tour of Cork City,-8.4647844,51.9003008,Cork,Cork City,Republic of Ireland,"Cycling,Activity Operator,Tour"
Shannon River Adventure,-7.9487171,53.8391737,Roscommon,Rooskey,Republic of Ireland,"Climbing,Activity Operator,Kayaking"
Woodville House and Walled Garden,-8.670777,53.18468,Galway,Kilchreest,Republic of Ireland,"Walking,Gardens,Garden,Museums and Attraction"
Roscommon Castle,-8.1932598,53.635461,Roscommon,Roscommon Town,Republic of Ireland,"Bird Watching,Nature and Wildlife,Castle,Historic Houses and Castle,Public Park,Ruins"
Glencar Waterfall,-8.37017,54.338177,Leitrim,Manorhamilton,Republic of Ireland,
Ennis Walking Tours,-8.9818,52.8442,Clare,Ennis,Republic of Ireland,"Learning,Walking,Activity Operator,Tour"
Burtown House Gardens,-6.8707423,52.9964989,Kildare,Athy,Republic of Ireland,"Restaurant,Craft,Shopping,Gardening,Nature and Wildlife,Walking,Art Gallery,Gardens,Garden,Historic Houses and Castle,Cafe,Food and Drink"
Loop Head Lighthouse,-9.9327301,52.5608496,Clare,Loop Head,Republic of Ireland,"Bird Watching,Nature and Wildlife,Museums and Attraction,Tour"
PGA National Ireland Slieve Russell,-7.5567615,54.0966827,Cavan,Ballyconnell,Republic of Ireland,"Golf Course,Golf,Driving Range,General,Golf Driving Range,Activity Operator"
Manorhamilton Castle and Heritage Centre,-8.1789831,54.3071338,Leitrim,Manorhamilton,Republic of Ireland,"Historic Houses and Castle,Castle,Ruins,Tour"
Dunfanaghy Golf Club,-7.9611957,55.1833124,Donegal,Dunfanaghy,Republic of Ireland,"Golf Course,Golf,Activity Operator"
Skelligs Watersports,-10.271997,51.82526159,Kerry,Ballinskelligs,Republic of Ireland,"Kayaking,Activity Operator,Kitesurfing,Windsurfing,Surfing"
Altamont Gardens,-6.72083739,52.73578131,Carlow,Tullow,Republic of Ireland,"Gardens,Garden,Cafe,Food and Drink"
Croke Park Stadium Tour and GAA Museum,-6.251852,53.360566,Dublin,Dublin City,Republic of Ireland,Museums and Attraction
Rathfarnham Castle,-6.2836302,53.2980764,Dublin,Rathfarnham,Republic of Ireland,"Castle,Historic Houses and Castle"
Gate Theatre,-6.2619635,53.353059,Dublin,Dublin City,Republic of Ireland,
Abbey Theatre,-6.2571782,53.3483986,Dublin,Dublin City,Republic of Ireland,
National Museum of IrelandDecorative Arts  History,-6.2873631,53.3487803,Dublin,Dublin City,Republic of Ireland,Museums and Attraction
Triskel Arts Centre,-8.4763464,51.8973901,Cork,Cork City,Republic of Ireland,"Craft,Shopping,Movies,Cinema,Venue,Music,Cafe,Food and Drink"
The Douglas Hyde Gallery of Contemporary Art,-6.2577013,53.3432805,Dublin,Dublin City,Republic of Ireland,Art Gallery
Lafcadio Hearn Japanese Gardens,-7.1498733,52.1633068,Waterford,Tramore,Republic of Ireland,"Gardens,Garden,Tour"
Airfield Estate,-6.2369953,53.2881795,Dublin,Dundrum,Republic of Ireland,"Gardens,Garden,Visitor Farm"
Irish Museum of Modern Art IMMA,-6.300048,53.342917,Dublin,Dublin City,Republic of Ireland,"Art Gallery,Museums and Attraction"
Irish Premium Oysters,-8.336564049,54.89020475,Donegal,Dungloe,Republic of Ireland,"Food and Drink,Restaurant,Activity Operator,Food Trails and Tour,Tour"
Fairy Bridges and Wishing Chair,-8.271331,54.490416,Donegal,Bundoran,Republic of Ireland,"Walking,Natural Landscape"
Dingle Horse Riding,-10.281271,52.151897,Kerry,Dingle,Republic of Ireland,"Horse Riding,Equestrian,Activity Operator"
Sandy Feet Farm,-9.922906,52.2308225,Kerry,Camp,Republic of Ireland,"Food and Drink,Agriculture,Nature and Wildlife,Visitor Farm,Cafe,Activity Operator"
Clonakilty Park Adventure Centre,-8.89613,51.6158,Cork,Clonakilty,Republic of Ireland,"Climbing,Activity Operator,Zip Lining,Adventure Park"
Donegal Bay Charters,-8.1113239,54.6524793,Donegal,Donegal Town,Republic of Ireland,"Fishing,Angling,Activity Operator"
Doreen Drennan Art Studio Garden and Lodge,-9.3217676,53.0316889,Clare,Lisdoonvarna,Republic of Ireland,"Craft,Shopping,Art Gallery,Gardens,Garden"
Timahoe Round Tower,-7.2031913,52.9602614,Laois,Timahoe,Republic of Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Cafe,Food and Drink"
The Farmyard,-9.0218552,52.9783995,Clare,Corofin,Republic of Ireland,"Agriculture,Nature and Wildlife,Learning,Visitor Farm,Cafe,Food and Drink,Local Produce,Restaurant,Food Shops,Shopping"
Northwest Adventure Tours,-8.4635388,54.271179,Sligo,Strandhill,Republic of Ireland,"Cycling,Walking,Activity Operator,Day Tour,Tour"
Blackstairs Eco Trails,-6.8551685,52.6132008,Carlow,Borris,Republic of Ireland,"Food and Drink,Restaurant,Learning,Walking,Activity Operator,Local Produce,Tour"
Walk Connemara,-9.9929371,53.4898449,Galway,Clifden,Republic of Ireland,"Walking,Activity Operator,Tour"
Jerpoint Park,-7.1680051,52.5098874,Kilkenny,Thomastown,Republic of Ireland,"Learning,Activity Operator"
Castletown House Parkland,-6.53029,53.349127,Kildare,Celbridge,Republic of Ireland,"Historic Houses and Castle,Art Gallery,Gardens,Garden,Public Park,Nature and Wildlife,Cafe,Food and Drink,Tour"
Golf at Glenlo Abbey Hotel and Estate,-9.0992916,53.301433,Galway,Galway City,Republic of Ireland,"Golf Course,Golf,Activity Operator"
MuddyBoots,-7.1492952,52.1614354,Waterford,Tramore,Republic of Ireland,"Walking,Activity Operator,Tour"
