STATISTIC,Statistic Label,TLIST(A1),Academic Year,C02352V02829,Level of Education,UNIT,VALUE
EDA37,Enrolments of Full-Time Students,2013,2012-2013,X45,Post leaving certificate courses (VPT2),Number,35524
EDA37,Enrolments of Full-Time Students,2014,2013-2014,-,All levels of education,Number,1072749
EDA37,Enrolments of Full-Time Students,2014,2013-2014,104,First level,Number,536317
EDA37,Enrolments of Full-Time Students,2014,2013-2014,23,Second level,Number,333175
EDA37,Enrolments of Full-Time Students,2014,2013-2014,4,Third level,Number,169254
EDA37,Enrolments of Full-Time Students,2014,2013-2014,X45,Post leaving certificate courses (VPT2),Number,34003
EDA37,Enrolments of Full-Time Students,2015,2014-2015,-,All levels of education,Number,1090641
EDA37,Enrolments of Full-Time Students,2015,2014-2015,104,First level,Number,544696
EDA37,Enrolments of Full-Time Students,2015,2014-2015,23,Second level,Number,339207
EDA37,Enrolments of Full-Time Students,2015,2014-2015,4,Third level,Number,173649
EDA37,Enrolments of Full-Time Students,2015,2014-2015,X45,Post leaving certificate courses (VPT2),Number,33089
EDA37,Enrolments of Full-Time Students,2016,2015-2016,-,All levels of education,Number,1111233
EDA37,Enrolments of Full-Time Students,2016,2015-2016,104,First level,Number,553380
EDA37,Enrolments of Full-Time Students,2016,2015-2016,23,Second level,Number,345550
EDA37,Enrolments of Full-Time Students,2016,2015-2016,4,Third level,Number,179850
EDA37,Enrolments of Full-Time Students,2016,2015-2016,X45,Post leaving certificate courses (VPT2),Number,32453
EDA37,Enrolments of Full-Time Students,2017,2016-2017,-,All levels of education,Number,1123590
EDA37,Enrolments of Full-Time Students,2017,2016-2017,104,First level,Number,558314
EDA37,Enrolments of Full-Time Students,2017,2016-2017,23,Second level,Number,352257
EDA37,Enrolments of Full-Time Students,2017,2016-2017,4,Third level,Number,181039
EDA37,Enrolments of Full-Time Students,2017,2016-2017,X45,Post leaving certificate courses (VPT2),Number,31980
